professor_name,department_name,state_name,star_rating,edugood_rating,eduaproval
Leslie  Looney,Astronomy department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",4.7,51.7,NAY
Jans  Wager,English department,"Chandrasekharpur, Bhubaneswar",4.5,49.5,NAY
Robert  Warden,Writing department,"Satya Nagar, Bhubaneswar",3.4,6.8,NAY
Bryan  Eldredge,ASL & Deaf Studies department,"Chandrasekharpur, Bhubaneswar",4.2,58.8,NAY
William  Hollinrake,Computer Science department,"Saheed Nagar, Bhubaneswar",1.6,9.6,NAY
Lauren  Baumbach,Architecture department,"Satya Nagar, Bhubaneswar",3.5,10.5,NAY
Beverly  Faunce,Education department,"Satya Nagar, Bhubaneswar",3.1,18.6,NAY
Deborah  Pluss,Communication department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.1,57.4,NAY
Lauren  Bold,Education department,"Satya Nagar, Bhubaneswar",4.8,33.6,NAY
Mary  Richardson,Languages department,"Barang Station, Barang, Bhubaneswar",3.9,15.6,NAY
Tracey  Francese,Women\'s Studies department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",3.4,27.2,NAY
Candice  White,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.7,48.1,NAY
Pat  Ledbetter,History department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.5,10.5,NAY
Juanita  Campos,Languages department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.4,30.6,NAY
Ann  Lewald,English department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.7,40.7,NAY
Hon  Linda,Communication department,"Kharvela Nagar, Bhubaneswar",4.8,52.8,NAY
Ruben  Mouhiddan,Architecture department,"Barang Station, Barang, Bhubaneswar",2.6,5.2,NAY
Margaret  Mitchell,Theater department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.9,63.7,NAY
Diane  Reid,Communication department,"Khandagiri, Bhubaneswar",4.5,36,NAY
John  Cunningham,Fine Arts department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.6,33.8,NAY
Wolfgang  Ziller,Mathematics department,"Satya Nagar, Bhubaneswar",3.8,34.2,NAY
Clark,Physics department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",1.5,10.5,NAY
Sally  Mallory,Chemistry department,"Satya Nagar, Bhubaneswar",3.3,13.2,NAY
Deirdre  O\' Shea,History department,"Kharvela Nagar, Bhubaneswar",4.2,16.8,NAY
Robin  Hochstrasser,Chemistry department,"Satya Nagar, Bhubaneswar",2.8,25.2,NAY
Rich  Carter,Chemistry department,"Chandrasekharpur, Bhubaneswar",2.9,23.2,NAY
Mara  Merlino,Psychology department,"Nandankanan Rd, Raghunathpur, Bhubaneswar",1.5,4.5,NAY
Michael  Scarlatos,Economics department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.3,6.9,NAY
Tina  Keeble,Mathematics department,"Gandamunda, Pokhariput, Bhubaneswar",2.8,5.6,NAY
Eleanor  Branch,English department,"Lingaraj Nagar, Old Town, Bhubaneswar",3.4,47.6,NAY
Virgina  Rivers,Biology department,"Nandankanan Rd, Raghunathpur, Bhubaneswar",3.1,24.8,NAY
Mulloy  Robertson,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",1.9,7.6,NAY
Dana  Baylard,English department,"Barang Station, Barang, Bhubaneswar",4.5,22.5,NAY
Mima  Petrovic,History department,"Gandamunda, Pokhariput, Bhubaneswar",3.8,22.8,NAY
Joan  Krone,Computer Science department,"Forest Park, Bhubaneswar",2.4,33.6,NAY
Nancy  Jones,Chemistry department,"Satya Nagar, Bhubaneswar",4.4,61.6,NAY
